Date,Open,High,Low,Close,Volume
2001-08-07,1200.469971,1207.560059,1195.640015,1204.400024,1012000000
2001-08-08,1204.400024,1206.790039,1181.27002,1183.530029,1124600000
2001-08-09,1183.530029,1184.709961,1174.680054,1183.430054,1104200000
2001-08-10,1183.430054,1193.329956,1169.550049,1190.160034,960900000
2001-08-13,1190.160034,1193.819946,1185.119995,1191.290039,837600000
2001-08-14,1191.290039,1198.790039,1184.26001,1186.72998,964600000
2001-08-15,1186.72998,1191.209961,1177.609985,1178.02002,1065600000
2001-08-16,1178.02002,1181.800049,1166.079956,1181.660034,1055400000
2001-08-17,1181.660034,1181.660034,1156.069946,1161.969971,974300000
2001-08-20,1161.969971,1171.410034,1160.939941,1171.410034,897100000
2001-08-21,1171.410034,1179.849976,1156.560059,1157.26001,1041600000
2001-08-22,1157.26001,1168.560059,1153.339966,1165.310059,1110800000
2001-08-23,1165.310059,1169.859985,1160.959961,1162.089966,986200000
2001-08-24,1162.089966,1185.150024,1162.089966,1184.930054,1043600000
2001-08-27,1184.930054,1186.849976,1178.069946,1179.209961,842600000
2001-08-28,1179.209961,1179.660034,1161.170044,1161.51001,987100000
2001-08-29,1161.51001,1166.969971,1147.380005,1148.560059,963700000
2001-08-30,1148.599976,1151.75,1124.869995,1129.030029,1157000000
2001-08-31,1129.030029,1141.829956,1126.380005,1133.579956,920100000
2001-09-04,1133.579956,1155.400024,1129.060059,1132.939941,1178300000
2001-09-05,1132.939941,1135.52002,1114.859985,1131.73999,1384500000
2001-09-06,1131.73999,1131.73999,1105.829956,1106.400024,1359700000
2001-09-07,1106.400024,1106.400024,1082.119995,1085.780029,1424300000
2001-09-10,1085.780029,1096.939941,1073.150024,1092.540039,1276600000
2001-09-17,1092.540039,1092.540039,1037.459961,1038.77002,2330830000
2001-09-18,1038.77002,1046.420044,1029.25,1032.73999,1650410000
2001-09-19,1032.73999,1038.910034,984.6199951,1016.099976,2120550000
2001-09-20,1016.099976,1016.099976,984.4899902,984.539978,2004800000
2001-09-21,984.539978,984.539978,944.75,965.7999878,2317300000
2001-09-24,965.7999878,1008.440002,965.7999878,1003.450012,1746600000
2001-09-25,1003.450012,1017.140015,998.3300171,1012.27002,1613800000
2001-09-26,1012.27002,1020.289978,1002.619995,1007.039978,1519100000
2001-09-27,1007.039978,1018.919983,998.2399902,1018.609985,1467000000
2001-09-28,1018.609985,1040.939941,1018.609985,1040.939941,1631500000
2001-10-01,1040.939941,1040.939941,1026.76001,1038.550049,1175600000
2001-10-02,1038.550049,1051.329956,1034.469971,1051.329956,1289800000
2001-10-03,1051.329956,1075.380005,1041.47998,1072.280029,1650600000
2001-10-04,1072.280029,1084.119995,1067.819946,1069.630005,1609100000
2001-10-05,1069.619995,1072.349976,1053.5,1071.380005,1301700000
2001-10-08,1071.369995,1071.369995,1056.880005,1062.439941,979000000
2001-10-09,1062.439941,1063.369995,1053.829956,1056.75,1227800000
2001-10-10,1056.75,1081.619995,1052.76001,1080.98999,1312400000
2001-10-11,1080.98999,1099.160034,1080.98999,1097.430054,1704580000
2001-10-12,1097.430054,1097.430054,1072.150024,1091.650024,1331400000
2001-10-15,1091.650024,1091.650024,1078.189941,1089.97998,1024700000
2001-10-16,1089.97998,1101.660034,1087.130005,1097.540039,1210500000
2001-10-17,1097.540039,1107.119995,1076.569946,1077.089966,1452200000
2001-10-18,1077.089966,1077.939941,1064.540039,1068.609985,1262900000
2001-10-19,1068.609985,1075.52002,1057.23999,1073.47998,1294900000
2001-10-22,1073.47998,1090.569946,1070.790039,1089.900024,1105700000
2001-10-23,1089.900024,1098.98999,1081.530029,1084.780029,1317300000
2001-10-24,1084.780029,1090.26001,1079.97998,1085.199951,1336200000
2001-10-25,1085.199951,1100.089966,1065.640015,1100.089966,1364400000
2001-10-26,1100.089966,1110.609985,1094.23999,1104.609985,1244500000
2001-10-29,1104.609985,1104.609985,1078.300049,1078.300049,1106100000
2001-10-30,1078.300049,1078.300049,1053.609985,1059.790039,1297400000
2001-10-31,1059.790039,1074.790039,1057.550049,1059.780029,1352500000
2001-11-01,1059.780029,1085.609985,1054.310059,1084.099976,1317400000
2001-11-02,1084.099976,1089.630005,1075.579956,1087.199951,1121900000
2001-11-05,1087.199951,1106.719971,1087.199951,1102.839966,1267700000
2001-11-06,1102.839966,1119.72998,1095.359985,1118.859985,1356000000
2001-11-07,1118.859985,1126.619995,1112.97998,1115.800049,1411300000
2001-11-08,1115.800049,1135.75,1115.420044,1118.540039,1517500000
2001-11-09,1118.540039,1123.02002,1111.130005,1120.310059,1093800000
2001-11-12,1120.310059,1121.709961,1098.319946,1118.329956,991600000
2001-11-13,1118.329956,1139.140015,1118.329956,1139.089966,1370100000
2001-11-14,1139.089966,1148.280029,1132.869995,1141.209961,1443400000
2001-11-15,1141.209961,1146.459961,1135.060059,1142.23999,1454500000
2001-11-16,1142.23999,1143.52002,1129.920044,1138.650024,1337400000
2001-11-19,1138.650024,1151.060059,1138.650024,1151.060059,1316800000
2001-11-20,1151.060059,1152.449951,1142.170044,1142.660034,1330200000
2001-11-21,1142.660034,1142.660034,1129.780029,1137.030029,1029300000
2001-11-23,1137.030029,1151.050049,1135.900024,1150.339966,410300000
2001-11-26,1150.339966,1157.880005,1146.170044,1157.420044,1129800000
2001-11-27,1157.420044,1163.380005,1140.810059,1149.5,1288000000
2001-11-28,1149.5,1149.5,1128.290039,1128.52002,1423700000
2001-11-29,1128.52002,1140.400024,1125.51001,1140.199951,1375700000
2001-11-30,1140.199951,1143.569946,1135.890015,1139.449951,1343600000
2001-12-03,1139.449951,1139.449951,1125.780029,1129.900024,1202900000
2001-12-04,1129.900024,1144.800049,1128.859985,1144.800049,1318500000
2001-12-05,1143.77002,1173.619995,1143.77002,1170.349976,1765300000
2001-12-06,1170.349976,1173.349976,1164.430054,1167.099976,1487900000
2001-12-07,1167.099976,1167.099976,1152.660034,1158.310059,1248200000
2001-12-10,1158.310059,1158.310059,1139.660034,1139.930054,1218700000
2001-12-11,1139.930054,1150.890015,1134.319946,1136.76001,1367200000
2001-12-12,1136.76001,1141.579956,1126.01001,1137.069946,1449700000
2001-12-13,1137.069946,1137.069946,1117.849976,1119.380005,1511500000
2001-12-14,1119.380005,1128.280029,1114.530029,1123.089966,1306800000
2001-12-17,1123.089966,1137.300049,1122.660034,1134.359985,1260400000
2001-12-18,1134.359985,1145.099976,1134.359985,1142.920044,1354000000
2001-12-19,1142.920044,1152.439941,1134.75,1149.560059,1484900000
2001-12-20,1149.560059,1151.420044,1139.930054,1139.930054,1490500000
2001-12-21,1139.930054,1147.459961,1139.930054,1144.890015,1694000000
2001-12-24,1144.890015,1147.829956,1144.619995,1144.650024,439670000
2001-12-26,1144.650024,1159.180054,1144.650024,1149.369995,791100000
2001-12-27,1149.369995,1157.130005,1149.369995,1157.130005,876300000
2001-12-28,1157.130005,1164.640015,1157.130005,1161.02002,917400000
2001-12-31,1161.02002,1161.160034,1148.040039,1148.079956,943600000
2002-01-02,1148.079956,1154.670044,1136.22998,1154.670044,1171000000
2002-01-03,1154.670044,1165.27002,1154.01001,1165.27002,1398900000
2002-01-04,1165.27002,1176.550049,1163.420044,1172.51001,1513000000
2002-01-07,1172.51001,1176.969971,1163.550049,1164.890015,1308300000
2002-01-08,1164.890015,1167.599976,1157.459961,1160.709961,1258800000
2002-01-09,1160.709961,1174.26001,1151.890015,1155.140015,1452000000
2002-01-10,1155.140015,1159.930054,1150.849976,1156.550049,1299000000
2002-01-11,1156.550049,1159.410034,1145.449951,1145.599976,1211900000
2002-01-14,1145.599976,1145.599976,1138.150024,1138.410034,1286400000
2002-01-15,1138.410034,1148.810059,1136.880005,1146.189941,1386900000
2002-01-16,1146.189941,1146.189941,1127.48999,1127.569946,1482500000
2002-01-17,1127.569946,1139.27002,1127.569946,1138.880005,1380100000
2002-01-18,1138.880005,1138.880005,1124.449951,1127.579956,1333300000
2002-01-22,1127.579956,1135.26001,1117.910034,1119.310059,1311600000
2002-01-23,1119.310059,1131.939941,1117.430054,1128.180054,1479200000
2002-01-24,1128.180054,1139.5,1128.180054,1132.150024,1552800000
2002-01-25,1132.150024,1138.310059,1127.819946,1133.280029,1345100000
2002-01-28,1133.280029,1138.630005,1126.660034,1133.060059,1186800000
2002-01-29,1133.060059,1137.469971,1098.73999,1100.640015,1812000000
2002-01-30,1100.640015,1113.790039,1081.660034,1113.569946,2019600000
2002-01-31,1113.569946,1130.209961,1113.300049,1130.199951,1557000000
2002-02-01,1130.199951,1130.199951,1118.51001,1122.199951,1367200000
2002-02-04,1122.199951,1122.199951,1092.25,1094.439941,1437600000
2002-02-05,1094.439941,1100.959961,1082.579956,1090.02002,1778300000
2002-02-06,1090.02002,1093.579956,1077.780029,1083.51001,1665800000
2002-02-07,1083.51001,1094.030029,1078.439941,1080.170044,1441600000
2002-02-08,1080.170044,1096.300049,1079.910034,1096.219971,1371900000
2002-02-11,1096.219971,1112.01001,1094.680054,1111.939941,1159400000
2002-02-12,1111.939941,1112.680054,1102.97998,1107.5,1094200000
2002-02-13,1107.5,1120.560059,1107.5,1118.51001,1215900000
2002-02-14,1118.51001,1124.719971,1112.300049,1116.47998,1272500000
2002-02-15,1116.47998,1117.089966,1103.22998,1104.180054,1359200000
2002-02-19,1104.180054,1104.180054,1082.23999,1083.339966,1189900000
2002-02-20,1083.339966,1098.319946,1074.359985,1097.97998,1438900000
2002-02-21,1097.97998,1101.5,1080.23999,1080.949951,1381600000
2002-02-22,1080.949951,1093.930054,1074.390015,1089.839966,1411000000
2002-02-25,1089.839966,1112.709961,1089.839966,1109.430054,1367400000
2002-02-26,1109.430054,1115.050049,1101.719971,1109.380005,1309200000
2002-02-27,1109.380005,1123.060059,1102.26001,1109.890015,1393800000
2002-02-28,1109.890015,1121.569946,1106.72998,1106.72998,1392200000
2002-03-01,1106.72998,1131.790039,1106.72998,1131.780029,1456500000
2002-03-04,1131.780029,1153.839966,1130.930054,1153.839966,1594300000
2002-03-05,1153.839966,1157.73999,1144.780029,1146.140015,1549300000
2002-03-06,1146.140015,1165.290039,1145.109985,1162.77002,1541300000
2002-03-07,1162.77002,1167.939941,1150.689941,1157.540039,1517400000
2002-03-08,1157.540039,1172.76001,1157.540039,1164.310059,1412000000
2002-03-11,1164.310059,1173.030029,1159.579956,1168.26001,1210200000
2002-03-12,1168.26001,1168.26001,1154.339966,1165.579956,1304400000
2002-03-13,1165.579956,1165.579956,1151.01001,1154.089966,1354000000
2002-03-14,1154.089966,1157.829956,1151.079956,1153.040039,1208800000
2002-03-15,1153.040039,1166.47998,1153.040039,1166.160034,1493900000
2002-03-18,1166.160034,1172.72998,1159.140015,1165.550049,1169500000
2002-03-19,1165.550049,1173.939941,1165.550049,1170.290039,1255000000
2002-03-20,1170.290039,1170.290039,1151.609985,1151.849976,1304900000
2002-03-21,1151.849976,1155.099976,1139.47998,1153.589966,1339200000
2002-03-22,1153.589966,1156.48999,1144.599976,1148.699951,1243300000
2002-03-25,1148.699951,1151.040039,1131.869995,1131.869995,1057900000
2002-03-26,1131.869995,1147.0,1131.609985,1138.48999,1223600000
2002-03-27,1138.48999,1146.949951,1135.329956,1144.579956,1180100000
2002-03-28,1144.579956,1154.449951,1144.579956,1147.390015,1147600000
2002-04-01,1147.390015,1147.839966,1132.869995,1146.540039,1050900000
2002-04-02,1146.540039,1146.540039,1135.709961,1136.76001,1176700000
2002-04-03,1136.76001,1138.849976,1119.680054,1125.400024,1219700000
2002-04-04,1125.400024,1130.449951,1120.060059,1126.339966,1283800000
2002-04-05,1126.339966,1133.310059,1119.48999,1122.72998,1110200000
2002-04-08,1122.72998,1125.410034,1111.790039,1125.290039,1095300000
2002-04-09,1125.290039,1128.290039,1116.72998,1117.800049,1235400000
2002-04-10,1117.800049,1131.76001,1117.800049,1130.469971,1447900000
2002-04-11,1130.469971,1130.469971,1102.420044,1103.689941,1505600000
2002-04-12,1103.689941,1112.77002,1102.73999,1111.01001,1282100000
2002-04-15,1111.01001,1114.859985,1099.410034,1102.550049,1120400000
2002-04-16,1102.550049,1129.400024,1102.550049,1128.369995,1341300000
2002-04-17,1128.369995,1133.0,1123.369995,1126.069946,1376900000
2002-04-18,1126.069946,1130.48999,1109.290039,1124.469971,1359300000
2002-04-19,1124.469971,1128.819946,1122.589966,1125.170044,1185000000
2002-04-22,1125.170044,1125.170044,1105.619995,1107.829956,1181800000
2002-04-23,1107.829956,1111.170044,1098.939941,1100.959961,1388500000
2002-04-24,1100.959961,1108.459961,1092.51001,1093.140015,1373200000
2002-04-25,1093.140015,1094.359985,1084.810059,1091.47998,1517400000
2002-04-26,1091.47998,1096.77002,1076.310059,1076.319946,1374200000
2002-04-29,1076.319946,1078.949951,1063.619995,1065.449951,1314700000
2002-04-30,1065.449951,1082.619995,1063.459961,1076.920044,1628600000
2002-05-01,1076.920044,1088.319946,1065.290039,1086.459961,1451400000
2002-05-02,1086.459961,1091.420044,1079.459961,1084.560059,1364000000
